slugID	title	subtitle	roles	seriesid	videoOrder	copy	youtubeId	href	videoSrc	imageSrc	imageAlt	videoPoster	vertical
hooking-up-with-girls	Hooking Up With Girls	ft. Lane Moore	Cinematography | Editing	music-videos	4		t3rLCM9LFfE		videos/hookingupwithgirls.mp4				
Making-it-1	Making It Episode 1	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	1		dwXaeTYc3Tg						TRUE
Making-it-10	Making It Episode 10	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	10		AROtp_lq240						TRUE
Making-it-2	Making It Episode 2	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	2		bewb5mvMt2I						TRUE
Making-it-3	Making It Episode 3	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	3		8Y7yt1P1gDc						TRUE
Making-it-4	Making It Episode 4	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	4		MufrKX9LY_Q						TRUE
Making-it-5	Making It Episode 5	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	5		OomH2JjVwrw						TRUE
Making-it-6	Making It Episode 6	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	6		Y3335Qn42qI						TRUE
Making-it-7	Making It Episode 7	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	7		wtLmfuCHG2A						TRUE
Making-it-8	Making It Episode 8	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	8		S1L7zvRjuoM						TRUE
Making-it-9	Making It Episode 9	Snap Originals ft. Dave Mizzoni	Directing | Cinematography | Editing	making-it	9		kZTRyPCdhes						TRUE
andys-roadshow	Andy's Roadshow		Directing | Writer | Editing	favorites	1		iLNypL04zH0		/videos/roadshow.mp4				
tuber	Tuber		Directing | Writer | Editing	favorites	3		0U5SCBko2XM		/videos/tuber.mp4				
pissterine	Pissterine			favorites	2	Andy once kickstarted a Listerine knockoff that got shutdown in trademark court.		https://www.kickstarter.com/projects/andyzou/pissterine-a-genuine-novelty-mouthwash	/videos/pissterine.mp4			/thumbposters/pissterine.jpg	
Dbh-1	Rolling in the Aisles		Editing	death-becomes-her	8		8QGYE_5nfQM						
Dbh-2	Best Friends		Editing	death-becomes-her	9		IBTQMTwN7vc						
Dbh-3	Now a Musical? Ep. 1	ft. Noel Carey & Julia Mattison	Directing | Producer | Editing	death-becomes-her	3		gvjDOk8T9Lo						
Dbh-4	Now a Musical? Ep. 2	ft. Noel Carey & Julia Mattison	Directing | Producer | Editing	death-becomes-her	4		aLHsoQG-jEg						
Dbh-5	Now a Musical? Ep. 3	ft. Noel Carey & Julia Mattison	Directing | Producer | Editing	death-becomes-her	5		j9SF9ys4IhA						
Dbh-6	Ask Marco Ep. 1	ft. Marco Pennette	Directing | Producer | Editing		6		p0EQcb7oays						
Dbh-7	Ask Marco Ep. 2	ft. Marco Pennette	Directing | Producer | Editing	death-becomes-her	7		go1LBg6iEew						
European-boys	European Boys	Comedy Central Digital ft. Rose Kelso	Directing | Editing	comedy-central-originals	16		uE1Y7PHMdPc						
freezing-your-eggs	Freezing Your Eggs	Comedy Central Digital	Directing | Writer | Editing	comedy-central-originals	10			https://www.instagram.com/reel/Cqs1xAFpnwI		/thumbposters/cadbury.jpg			TRUE
icontact	iContact	Comedy Central Digital ft. DeStorm	Directing | Writer | Editing	comedy-central-originals	6		aQN6jBk_LWc						
litterbox-office	The Litterbox Office	Comedy Central Digital	Directing | Writer	comedy-central-originals	4	7M Views!	KIdN_iYBW7A						
living-funeral-home	The Living Funeral Home	Comedy Central Digital ft. Lala Milan	Directing | Writer | Editing	comedy-central-originals	5		zcqkqql5VW0						
nothing-gay-in-the-wild-west	Nothing Gay in the Wild West	Comedy Central Digital ft. Brooks Allison & Rose Kelso	Directing	comedy-central-originals	15		bFYFLfq6nZo						
polyamorous-romcom	The Polyamorous RomCom	Comedy Central Digital ft. Yung Gravy	Directing | Writer | Editing	comedy-central-originals	2		XhMz5vRlya8						
rebirthing-center	The Rebirthing Center	Comedy Central Digital	Directing | Writer	comedy-central-originals	1	Webby-nominated short for Comedy Central Digital.	BXOaAgDnpd8						
remote-control-boss	Remote Control Boss	Comedy Central Digital	Directing | Writer | Editing	comedy-central-originals	3		2PPkDxOul_0						
rich-friend	Rich Friend	Comedy Central Digital ft. Anwar & Rose Kelso	Directing	comedy-central-originals	12		gSojwTO5QZs						
she-looks-like-her-dad	She Looks Like Her Dad	Comedy Central Digital ft. DeStorm & Rose Kelso	Directing	comedy-central-originals	13		lQankmO_xbQ						
staying-young-forever	Staying Young Forever	Comedy Central Digital ft. Lala Milan & Rose Kelso	Directing	comedy-central-originals	14		oCYzAHPMTUM						
take-a-deep-breath	Take a Deep F***ing Breath	Comedy Central Digital	Directing | Writer | Editing	comedy-central-originals	9		2Z4VgVKrveM			/thumbposters/breathe.jpg			TRUE
teen-uncle	Teen Uncle	Comedy Central Digital ft. Adam Waheed	Directing | Editing	comedy-central-originals	7		YUJIjQ0MytM						
